src,tgt,WER,CER
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002186234981612353594dbea6d_43af91512ab54f2b9ddb4b9477a7ea88_1.txt,0.33766233766233766,0.030577576443941108
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002292313381627734010c65094_5a845fe134a348b98299a423db9c0362_1.txt,0.37662337662337664,0.039637599093997736
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002499715461641570500eeb35c_d13a5a295af24bd59f08f5e43d73f37e_1.txt,0.23376623376623376,0.026047565118912798
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002554821541645363274dc32fb_906caf0550f84d368d35bb472677eca3_1.txt,0.35064935064935066,0.039637599093997736
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002636759181654935888cf8c10_58dae07cdafe4225a14ec0489254e683_1.txt,0.2727272727272727,0.027180067950169876
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_0028386695416710249141e0ca7_323acd5c9fef44409458068e92115504_1.txt,0.23376623376623376,0.027180067950169876
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_002989757291687516468a92439_968ee78f8af64cb8a295546ee03c501c_1.txt,0.23376623376623376,0.02378255945639864
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_009842296816082980187f5d6c_4769f8594505459c80b220c8a5468e92_1.txt,0.2597402597402597,0.026047565118912798
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_012112297561606126400391ceb_ef9dcbd93031454087a13687fd78767b_1.txt,0.2987012987012987,0.03284258210645526
7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean.txt,vc_7847017_妈妈我爱你_564b5a26a6434b758310852004c94d9f_clean_0124926159616482674912fdae0_bd66916f5a1c407ebbd6defddb30ec57_1.txt,0.2857142857142857,0.02944507361268403
7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean.txt,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_002186234981612353594dbea6d_43af91512ab54f2b9ddb4b9477a7ea88_1.txt,0.27710843373493976,0.027818448023426062
7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean.txt,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_002292313381627734010c65094_5a845fe134a348b98299a423db9c0362_1.txt,0.25301204819277107,0.021961932650073207
7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean.txt,vc_7847305_我的魔法师奶奶_2b4a1e94e6744653b099b26436b22193_clean_002499715461641570500eeb35c_d13a5a295af24bd59f08f5e43d73f37e_1.txt,0.2891566265060241,0.027818448023426062
